dtcode23,dtcode11,stdtname,dtname,dtusename,stcode11,stcode23,st2code,stname
647,616,tn_ariyalur,Ariyalur,ariyalur,33,30,TN,TAMIL NADU
648,787,tn_chengalpattu,Chengalpattu,chengalpattu,33,30,TN,TAMIL NADU
649,603,tn_chennai,Chennai,chennai,33,30,TN,TAMIL NADU
650,632,tn_coimbatore,Coimbatore,coimbatore,33,30,TN,TAMIL NADU
651,617,tn_cuddalore,Cuddalore,cuddalore,33,30,TN,TAMIL NADU
652,630,tn_dharmapuri,Dharmapuri,dharmapuri,33,30,TN,TAMIL NADU
653,612,tn_dindigul,Dindigul,dindigul,33,30,TN,TAMIL NADU
654,610,tn_erode,Erode,erode,33,30,TN,TAMIL NADU
655,604,tn_kanchipuram,KAnchipuram,kanchipuram,33,30,TN,TAMIL NADU
656,789,tn_kallakurichchi,Kallakurichchi,kallakurichchi,33,30,TN,TAMIL NADU
657,629,tn_kanniyakumari,Kanniyakumari,kanniyakumari,33,30,TN,TAMIL NADU
658,613,tn_karur,Karur,karur,33,30,TN,TAMIL NADU
659,631,tn_krishnagiri,Krishnagiri,krishnagiri,33,30,TN,TAMIL NADU
660,623,tn_madurai,Madurai,madurai,33,30,TN,TAMIL NADU
661,796,tn_mayiladuthurai,Mayiladuthurai,mayiladuthurai,33,30,TN,TAMIL NADU
662,618,tn_nagapattinam,Nagapattinam,nagapattinam,33,30,TN,TAMIL NADU
663,609,tn_namakkal,Namakkal,namakkal,33,30,TN,TAMIL NADU
664,615,tn_perambalur,Perambalur,perambalur,33,30,TN,TAMIL NADU
665,621,tn_pudukkottai,Pudukkottai,pudukkottai,33,30,TN,TAMIL NADU
666,626,tn_ramanathapuram,Ramanathapuram,ramanathapuram,33,30,TN,TAMIL NADU
667,786,tn_ranipet,Ranipet,ranipet,33,30,TN,TAMIL NADU
668,608,tn_salem,Salem,salem,33,30,TN,TAMIL NADU
669,622,tn_sivaganga,Sivaganga,sivaganga,33,30,TN,TAMIL NADU
670,790,tn_tenkasi,Tenkasi,tenkasi,33,30,TN,TAMIL NADU
671,620,tn_thanjavur,Thanjavur,thanjavur,33,30,TN,TAMIL NADU
672,611,tn_the_nilgiris,The Nilgiris,the_nilgiris,33,30,TN,TAMIL NADU
673,624,tn_theni,Theni,theni,33,30,TN,TAMIL NADU
674,602,tn_thiruvallur,Thiruvallur,thiruvallur,33,30,TN,TAMIL NADU
675,619,tn_thiruvarur,Thiruvarur,thiruvarur,33,30,TN,TAMIL NADU
676,627,tn_thoothukkudi,Thoothukkudi,thoothukkudi,33,30,TN,TAMIL NADU
677,614,tn_tiruchirappalli,Tiruchirappalli,tiruchirappalli,33,30,TN,TAMIL NADU
678,628,tn_tirunelveli,Tirunelveli,tirunelveli,33,30,TN,TAMIL NADU
679,788,tn_tiruppattur,Tiruppattur,tiruppattur,33,30,TN,TAMIL NADU
680,633,tn_tiruppur,Tiruppur,tiruppur,33,30,TN,TAMIL NADU
681,606,tn_tiruvannamalai,Tiruvannamalai,tiruvannamalai,33,30,TN,TAMIL NADU
682,605,tn_vellore,Vellore,vellore,33,30,TN,TAMIL NADU
683,607,tn_viluppuram,Viluppuram,viluppuram,33,30,TN,TAMIL NADU
684,625,tn_virudhunagar,Virudhunagar,virudhunagar,33,30,TN,TAMIL NADU
685,637,py_karaikal,Karaikal,karaikal,34,31,PY,PUDUCHERRY
686,636,py_mahe,Mahe,mahe,34,31,PY,PUDUCHERRY
687,635,py_puducherry,Puducherry,puducherry,34,31,PY,PUDUCHERRY
688,634,py_yanam,Yanam,yanam,34,31,PY,PUDUCHERRY
689,638,an_nicobars,Nicobars,nicobars,35,32,AN,ANDAMAN & NICOBAR
690,639,an_north__&_middle_andaman,North  & Middle Andaman,north__&_middle_andaman,35,32,AN,ANDAMAN & NICOBAR
691,640,an_south_andaman,South Andaman,south_andaman,35,32,AN,ANDAMAN & NICOBAR
692,532,ts_adilabad,Adilabad,adilabad,36,33,TS,TELANGANA
693,753,ts_bhadradri_kothagudem,Bhadradri Kothagudem,bhadradri_kothagudem,36,33,TS,TELANGANA
694,536,ts_hyderabad,Hyderabad,hyderabad,36,33,TS,TELANGANA
695,737,ts_jagitial,Jagitial,jagitial,36,33,TS,TELANGANA
